날짜,구글 A_Predicted,구글 A_Actual
2007-08-05,13.548515,12.527694702148438
2007-08-06,13.584404,12.702034950256348
2007-08-07,13.623943,12.851968765258787
2007-08-08,13.65965,13.095051765441896
2007-08-09,13.689475,12.819839477539062
2007-08-10,13.720654,12.845244407653809
2007-08-11,13.749725,12.845244407653809
2007-08-12,13.777812,12.845244407653809
2007-08-13,13.8054495,12.839016914367676
2007-08-14,13.835956,12.667166709899902
2007-08-15,13.871294,12.391956329345703
2007-08-16,13.906073,12.241772651672363
2007-08-17,13.947076,12.453971862792969
2007-08-18,13.992224,12.453971862792969
2007-08-19,14.037782,12.453971862792969
2007-08-20,14.081543,12.40117073059082
2007-08-21,14.134905,12.617603302001951
2007-08-22,14.191585,12.770526885986328
2007-08-23,14.250983,12.756579399108888
2007-08-24,14.31027,12.826563835144045
2007-08-25,14.370512,12.826563835144045
2007-08-26,14.429061,12.826563835144045
2007-08-27,14.487719,12.783227920532228
2007-08-28,14.54539,12.612374305725098
2007-08-29,14.603267,12.773764610290527
2007-08-30,14.665261,12.73690414428711
2007-08-31,14.724358,12.832791328430176
2007-09-01,14.784291,12.832791328430176
2007-09-02,14.85758,12.832791328430176
2007-09-04,14.930831,13.07936191558838
2007-09-05,15.006145,13.145359992980955
2007-09-06,15.085171,13.038763999938965
2007-09-07,15.163573,12.934906005859377
2007-09-08,15.252238,12.934906005859377
2007-09-09,15.335827,12.934906005859377
2007-09-10,15.418353,12.81361484527588
2007-09-11,15.498986,12.98421859741211
2007-09-12,15.580923,13.017094612121582
2007-09-13,15.667895,13.070145606994627
2007-09-14,15.738341,13.169021606445312
2007-09-15,15.803666,13.169021606445312
2007-09-16,15.863196,13.169021606445312
2007-09-17,15.920567,13.08309555053711
2007-09-18,15.972991,13.331408500671388
2007-09-19,16.03089,13.619818687438965
2007-09-20,16.082561,13.768756866455078
2007-09-21,16.129623,13.949822425842283
2007-09-22,16.185392,13.949822425842283
2007-09-23,16.241915,13.949822425842283
2007-09-24,16.297453,14.147079467773438
2007-09-25,16.35337,14.17148494720459
2007-09-26,16.40917,14.150565147399902
2007-09-27,16.468275,14.134126663208008
